year,state,dismissed_count,prison_count,withdrawal_count,avg_decision_end_per1lakhcases,avg_fileend_per1lakhcases,avg_filecourt_per1lakhcases,pendingcases_count,pending_casesperlakh,criminal_count,criminal_perlakh,noncriminal_count,noncriminal_perlakh,total_cases,avgyears_fileend_per1lakhcases,avgyears_filecourt_per1lakhcases
2017,Manipur,0,3,0,5,2399,205,0,0,7886,0.02982,6786,0.02492,15548,6.57260273972603,0.561643835616438
2018,Manipur,0,1,0,0,2389,284,0,0,6605,0.02031,5415,0.01562,14821,6.54520547945206,0.778082191780822
2010,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Meghalaya,100,0,182,3,72583,12062,50,0.0005,116,0.01174,131,0.01189,1305,198.857534246575,33.0465753424658
2012,Meghalaya,235,0,103,13,29777,3372,0,0,112,0.02563,144,0.0259,2719,81.5808219178082,9.23835616438356
2013,Meghalaya,80,0,78,8,38002,5417,0,0,499,0.01651,376,0.01528,2027,104.115068493151,14.841095890411
2014,Meghalaya,44,0,29,11,33837,3162,0,0,4017,0.00959,836,0.00191,4890,92.7041095890411,8.66301369863014
2015,Meghalaya,36,0,25,3,19654,1141,0,0,4200,0.01301,1261,0.00419,5482,53.8465753424658,3.12602739726027
2016,Meghalaya,0,8,0,5,31606,1213,0,0,4131,0.00712,1115,0.00213,5260,86.5917808219178,3.32328767123288
2017,Meghalaya,0,5,1,6,6278,82,0,0,5913,0.02204,1275,0.00485,7588,17.2,0.224657534246575
2018,Meghalaya,0,0,0,60,13784,193,0,0,2503,0.00739,777,0.00225,4038,37.7643835616438,0.528767123287671
2010,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Mizoram,27,0,12,0,86894,59406,5,5E-05,41,0.00637,28,0.00624,665,238.065753424658,162.756164383562
2012,Mizoram,53,0,27,0,11713,6588,0,0,123,0.01757,103,0.01728,1866,32.0904109589041,18.0493150684932
2013,Mizoram,56,0,42,1,24726,14906,0,0,176,0.012,108,0.01132,1308,67.7424657534247,40.8383561643836
2014,Mizoram,5,0,5,0,369431,239034,0,0,460,0.00115,222,0.00072,714,1012.1397260274,654.887671232877
2015,Mizoram,4,0,7,0,182486,105741,8,8E-05,828,0.00251,296,0.00089,1134,499.961643835616,289.701369863014
2016,Mizoram,0,0,0,0,380658,183981,2,2E-05,744,0.0012,284,0.00049,1039,1042.89863013699,0
2017,Mizoram,0,0,0,0,46289,12556,0,0,1257,0.00463,479,0.00206,1936,126.819178082192,34.4
2018,Mizoram,0,0,0,0,70231,19952,0,0,722,0.00256,163,0.00099,1365,192.413698630137,54.6630136986301
2010,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Orissa,7116,2,13284,12,2041,989,5890,0.0589,20248,0.85418,16847,0.82017,102265,5.59178082191781,2.70958904109589
2012,Orissa,8236,0,13169,12,1363,533,406,0.00406,21881,1.04124,19713,1.01776,126070,3.73424657534247,1.46027397260274
2013,Orissa,9300,0,14829,5,875,313,771,0.00771,40664,1.24949,34092,1.18377,159041,2.3972602739726,0.857534246575342
2014,Orissa,2196,0,4396,16,2542,810,943,0.00943,84980,0.29914,56419,0.22005,164049,6.96438356164384,2.21917808219178
2015,Orissa,2146,1,4718,12,1491,365,1299,0.01299,116003,0.36931,74917,0.2424,192927,4.08493150684932,1
2016,Orissa,2,3,44,19,1744,323,4705,0.04705,133288,0.235,94878,0.16732,229001,4.77808219178082,0.884931506849315
2017,Orissa,7,159,40,4,547,79,10287,0.10287,169856,0.69388,112329,0.46615,299934,1.4986301369863,0.216438356164384
2018,Orissa,0,11,11,7,434,124,0,0,124566,0.4322,81802,0.29049,256311,1.18904109589041,0.33972602739726
2010,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Punjab,49491,68,26478,2,547,178,2409,0.02409,17517,1.60316,6258,1.49057,166574,1.4986301369863,0.487671232876712
2012,Punjab,70008,80,41058,1,268,48,81,0.00081,25791,2.36295,9487,2.18127,246800,0.734246575342466,0.131506849315068
2013,Punjab,79752,73,54689,0,177,21,270,0.0027,83987,2.821,28303,2.26416,310403,0.484931506849315,0.057534246575343
2014,Punjab,21337,11,14760,0,501,37,281,0.00281,275884,0.66778,95560,0.236,374592,1.37260273972603,0.101369863013699
2015,Punjab,27648,17,20225,0,313,14,173,0.00173,299639,0.94628,113283,0.35849,413919,0.857534246575342,0.038356164383562
2016,Punjab,0,0,158,0,481,17,10544,0.10544,314126,0.55077,128660,0.22465,442910,1.31780821917808,0.046575342465754
2017,Punjab,0,0,982,0,148,5,0,0,383906,1.41987,147962,0.55161,563399,0.405479452054794,0.013698630136986
2018,Punjab,1,40,635,0,127,4,0,0,301605,0.98169,139346,0.49345,573146,0.347945205479452,0.010958904109589
2010,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
